,m,delta_p,p_hat,p_min,pi,k,l,search_bound,n,i,cls,explicit_bound,implicit_bound
0,2.0,0.04,0.7,0.9,0.0,10000.0,3.0,3745.0,539.0,1.0,0.0,2878.231366242563,2879
1,2.0,0.04,0.7,0.9,0.011538462,10000.0,3.0,4975.0,684.0,1.0,0.3,5873.941765152618,3867
2,2.0,0.04,0.7,0.9,0.023076924,10000.0,3.0,9768.0,1026.0,1.0,0.6,17988.948197689726,8657
3,2.0,0.04,0.7,0.9,0.034615386,10000.0,3.0,115153.0,5937.0,1.0,0.9,287823.34385702625,137327
4,2.0,0.08,0.7,0.9,0.0,10000.0,3.0,936.0,140.0,2.0,0.0,719.5578415606408,720
5,2.0,0.08,0.7,0.9,0.022222223,10000.0,3.0,1259.0,178.0,2.0,0.3,1468.4854349946452,978
6,2.0,0.08,0.7,0.9,0.044444446,10000.0,3.0,2473.0,276.0,2.0,0.6,4497.236981963874,2170
7,2.0,0.08,0.7,0.9,0.06666667,10000.0,3.0,28837.0,1579.0,2.0,0.9,71955.84891631351,34332
8,2.0,0.12,0.7,0.9,0.0,10000.0,3.0,416.0,64.0,3.0,0.0,319.8034851380625,320
9,2.0,0.12,0.7,0.9,0.03214286,10000.0,3.0,566.0,84.0,3.0,0.3,652.6602234776403,439
10,2.0,0.12,0.7,0.9,0.06428572,10000.0,3.0,1113.0,128.0,3.0,0.6,1998.7723151188063,968
11,2.0,0.12,0.7,0.9,0.09642857,10000.0,3.0,12839.0,716.0,3.0,0.9,31980.339985715073,15259
12,2.0,0.16,0.7,0.9,0.0,10000.0,3.0,234.0,37.0,4.0,0.0,179.8894603901602,180
13,2.0,0.16,0.7,0.9,0.04137931,10000.0,3.0,322.0,49.0,4.0,0.3,367.12134511272524,250
14,2.0,0.16,0.7,0.9,0.08275862,10000.0,3.0,634.0,76.0,4.0,0.6,1124.309099330774,547
15,2.0,0.16,0.7,0.9,0.12413793,10000.0,3.0,7235.0,434.0,4.0,0.9,17988.943340674377,8583
16,2.0,0.2,0.7,0.9,0.0,10000.0,3.0,150.0,24.0,5.0,0.0,115.1292546497025,116
17,2.0,0.2,0.7,0.9,0.05,10000.0,3.0,208.0,32.0,5.0,0.3,234.9576625504133,162
18,2.0,0.2,0.7,0.9,0.1,10000.0,3.0,410.0,51.0,5.0,0.6,719.5578415606404,351
19,2.0,0.2,0.7,0.9,0.15,10000.0,3.0,4639.0,279.0,5.0,0.9,11512.92546497023,5494
20,2.0,0.24,0.7,0.9,0.0,10000.0,3.0,104.0,17.0,6.0,0.0,79.95087128451563,80
21,2.0,0.24,0.7,0.9,0.058064517,10000.0,3.0,146.0,23.0,6.0,0.3,163.16504553562336,113
22,2.0,0.24,0.7,0.9,0.11612903,10000.0,3.0,288.0,36.0,6.0,0.6,499.6929163794687,245
23,2.0,0.24,0.7,0.9,0.17419355,10000.0,3.0,3227.0,193.0,6.0,0.9,7995.088460966255,3815
24,2.0,0.28,0.7,0.9,0.0,10000.0,3.0,76.0,13.0,7.0,0.0,58.73941563760332,59
25,2.0,0.28,0.7,0.9,0.065625,10000.0,3.0,108.0,17.0,7.0,0.3,119.87635844408841,84
26,2.0,0.28,0.7,0.9,0.13125,10000.0,3.0,214.0,28.0,7.0,0.6,367.12134773502066,181
27,2.0,0.28,0.7,0.9,0.196875,10000.0,3.0,2376.0,147.0,7.0,0.9,5873.941563760322,2803
28,2.0,0.32,0.7,0.9,0.0,10000.0,3.0,59.0,10.0,8.0,0.0,44.97236509754005,45
29,2.0,0.32,0.7,0.9,0.07272727,10000.0,3.0,83.0,14.0,8.0,0.3,91.780333983673,65
30,2.0,0.32,0.7,0.9,0.14545454,10000.0,3.0,166.0,22.0,8.0,0.6,281.07725023843363,139
